# reading -> a SEQUENCE of codepoints: one reading written with several
# signs, such as MEŠ = 𒈨𒌍. Learned from the gaps between anchors on lines
# whose counts do not match. Kept only above 5 observations and
# 95% confidence. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
MEŠ	𒈨𒌍	0.989	26224	26513	2 signs
2	𒁹𒁹	0.962	7125	7409	2 signs
BANŠUR	𒌷𒍏	0.997	2951	2959	2 signs
SAGI	𒋡𒋗𒂃	0.997	1825	1830	3 signs
GIG	𒈪𒉭	0.973	1228	1262	2 signs
IŠTAR	𒌋𒁯	0.995	1241	1247	2 signs
12	𒌋𒁹𒁹	0.969	748	772	3 signs
20	𒌋𒌋	0.951	549	577	2 signs
GUDU₁₂	𒅎𒈨	0.998	547	548	2 signs
SA₅	𒋛𒀀	0.963	492	511	2 signs
ŠUKUR	𒅆𒆕	0.991	451	455	2 signs
KARAŠ	𒆠𒆗𒁁	0.953	322	338	3 signs
A+NA	𒀀𒈾	0.969	247	255	2 signs
GÉME	𒊩𒆳	0.971	202	208	2 signs
È	𒌓𒁺	0.970	194	200	2 signs
14	14	0.975	193	198	2 signs
KAR	𒋼𒀀	0.957	177	185	2 signs
50	50	0.966	171	177	2 signs
AGRIG	𒅆𒁾	0.994	170	171	2 signs
a+na	𒀀▒𒀀	0.986	144	146	3 signs
40	40	0.962	125	130	2 signs
kat+ta	𒃰𒋫	0.973	110	113	2 signs
KISLAḪ	𒆠𒌓	0.964	106	110	2 signs
16	16	0.952	99	104	2 signs
danₓ	?°?	1.000	104	104	3 signs
13	𒌋𒁹𒁹𒁹	1.000	102	102	4 signs
DANNA	𒆜𒁍	0.960	97	101	2 signs
i+na	𒄿▒𒀀	0.970	96	99	3 signs
šap	𒉺𒅁	0.968	91	94	2 signs
DIM₄	𒉽𒉽	0.966	85	88	2 signs
GÉŠPU	𒋗𒉽𒉽	0.974	76	78	3 signs
SIPA	𒉺𒇻	0.973	73	75	2 signs
ZUEN	𒂗𒍪	1.000	73	73	2 signs
man	𒌋𒌋	0.985	67	68	2 signs
SÍG+MUNUS	𒋠𒊩	1.000	68	68	2 signs
…x	▒▒▒▒	1.000	66	66	4 signs
KAxU	𒅗▒𒌋	0.985	64	65	3 signs
EREŠ	𒊩𒈠	1.000	57	57	2 signs
Kar	𒋼𒀀	1.000	55	55	2 signs
70	70	0.964	53	55	2 signs
18	18	0.963	52	54	2 signs
ra+a	𒊏𒀀	1.000	53	53	2 signs
25	25	0.980	50	51	2 signs
NISABA	𒊺𒉀	0.980	50	51	2 signs
ÀM	𒀀𒀭	0.980	50	51	2 signs
ENSI	𒂗𒈨𒇷	1.000	51	51	3 signs
17	17	1.000	48	48	2 signs
ḪUŠ	𒄭𒄊	0.979	46	47	2 signs
per	?°?	0.977	43	44	3 signs
gun	𒄘𒌦	0.976	40	41	2 signs
80	80	0.950	38	40	2 signs
PA₅	𒉽𒂊	0.973	36	37	2 signs
eš₁₇	𒈨𒌍	1.000	36	36	2 signs
DIR	𒋛𒀀	1.000	35	35	2 signs
19	19	0.971	33	34	2 signs
HI	?°?	0.970	32	33	3 signs
DU₄	?°?	1.000	32	32	3 signs
KUN₅	𒌉𒂠	1.000	31	31	2 signs
36	36	0.963	26	27	2 signs
23	23	1.000	26	26	2 signs
meš	𒈨𒌍	0.962	25	26	2 signs
ÙMMEDA	𒍏𒁕	0.962	25	26	2 signs
𒑱za	𒑱𒍝	0.958	23	24	2 signs
𒑱ḫa	𒑱𒄩	0.958	23	24	2 signs
𒑱ku	𒑱𒂉	1.000	24	24	2 signs
BÁḪAR	𒂁𒋡𒁓	0.958	23	24	3 signs
SAKAR	?°?	1.000	24	24	3 signs
DÌM	𒊐𒃵	0.958	23	24	2 signs
34	34	0.957	22	23	2 signs
𒑱ta	𒑱𒋫	1.000	23	23	2 signs
26	26	1.000	21	21	2 signs
29	29	0.952	20	21	2 signs
DUL	𒌋𒌆	0.952	20	21	2 signs
ha	?°?	1.000	20	20	3 signs
𒑱tar	𒑱𒋻	0.950	19	20	2 signs
ŠÙDUN	𒋙𒌪	1.000	20	20	2 signs
〈MEŠ〉	𒈨𒌍	1.000	19	19	2 signs
