# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
x	▒	1.000	93526	93544	MEDIUM SHADE
an	𒀭	0.999	81051	81115	CUNEIFORM SIGN AN
a	𒀀	0.999	56057	56092	CUNEIFORM SIGN A
aš	𒀸	0.999	45406	45463	CUNEIFORM SIGN ASH
zi	𒍣	0.999	44018	44052	CUNEIFORM SIGN ZI
ma	𒈠	0.999	37607	37636	CUNEIFORM SIGN MA
na	𒈾	0.999	37030	37062	CUNEIFORM SIGN NA
i	𒄿	0.999	32434	32463	CUNEIFORM SIGN I
wa	𒉿	0.941	28870	30673	CUNEIFORM SIGN PI
ia	𒅀	0.999	29240	29272	CUNEIFORM SIGN I A
ta	𒋫	0.999	28967	28986	CUNEIFORM SIGN TA
nu	𒉡	0.999	28764	28784	CUNEIFORM SIGN NU
da	𒁕	0.999	27334	27354	CUNEIFORM SIGN DA
ša	𒊭	0.999	25735	25764	CUNEIFORM SIGN SHA
e	𒂊	0.999	23810	23832	CUNEIFORM SIGN E
ḫa	𒄩	0.999	23713	23736	CUNEIFORM SIGN HA
pa	𒉺	0.999	23668	23692	CUNEIFORM SIGN PA
ku	𒂉	0.999	19885	19905	CUNEIFORM SIGN DUR2
D	𒀭	0.999	19880	19901	CUNEIFORM SIGN AN
ši	𒅆	0.999	19535	19550	CUNEIFORM SIGN IGI
iš	𒅖	0.999	19479	19497	CUNEIFORM SIGN ISH
A	𒀀	0.999	18080	18100	CUNEIFORM SIGN A
ni	𒉌	0.999	16905	16922	CUNEIFORM SIGN NI
ti	𒋾	0.999	16416	16434	CUNEIFORM SIGN TI
ra	𒊏	0.999	16360	16382	CUNEIFORM SIGN RA
kán	𒃷	0.999	16264	16275	CUNEIFORM SIGN GAN2
uš	𒍑	0.999	15206	15219	CUNEIFORM SIGN USH
u	𒌋	0.999	14873	14888	CUNEIFORM SIGN U
za	𒍝	0.999	14788	14806	CUNEIFORM SIGN ZA
at	𒀜	0.998	14339	14362	CUNEIFORM SIGN AD
1	𒁹	0.998	13117	13140	CUNEIFORM SIGN DISH
ri	𒊑	0.999	12801	12811	CUNEIFORM SIGN RI
NA	𒈾	0.999	12404	12415	CUNEIFORM SIGN NA
ú	𒌑	0.999	12289	12298	CUNEIFORM SIGN U2
ki	𒆠	0.999	12116	12123	CUNEIFORM SIGN KI
ḫu	𒄷	0.999	12049	12057	CUNEIFORM SIGN HU
la	𒆷	0.999	11629	11639	CUNEIFORM SIGN LA
li	𒇷	0.999	11445	11453	CUNEIFORM SIGN LI
LUGAL	𒈗	0.999	11143	11154	CUNEIFORM SIGN LUGAL
eš	𒌍	0.999	10819	10831	CUNEIFORM SIGN U U U
URU	𒌷	0.998	10638	10655	CUNEIFORM SIGN URU
ar	𒅈	0.999	10237	10243	CUNEIFORM SIGN IGI RI
LÚ	𒇽	0.998	9975	9992	CUNEIFORM SIGN LU2
it	𒀉	0.999	9630	9640	CUNEIFORM SIGN A2
šu	𒋗	0.999	9402	9410	CUNEIFORM SIGN SHU
aḫ	𒄴	0.999	8992	8998	CUNEIFORM SIGN HI TIMES NUN
pí	𒁉	0.999	8862	8867	CUNEIFORM SIGN BI
pé	𒁉	0.999	8764	8772	CUNEIFORM SIGN BI
GIŠ	𒄑	0.999	8595	8605	CUNEIFORM SIGN GISH
te	𒋼	1.000	7625	7627	CUNEIFORM SIGN TE
NINDA	𒃻	0.998	7472	7487	CUNEIFORM SIGN GAR
ŠU	𒋗	0.999	7069	7073	CUNEIFORM SIGN SHU
ez	𒄑	1.000	7048	7051	CUNEIFORM SIGN GISH
mi	𒈪	0.999	6955	6964	CUNEIFORM SIGN MI
ḫi	𒄭	0.998	6929	6940	CUNEIFORM SIGN HI
in	𒅔	0.998	6883	6894	CUNEIFORM SIGN IN
EGIR	𒂕	1.000	6774	6777	CUNEIFORM SIGN EGIR
un	𒌦	1.000	6713	6715	CUNEIFORM SIGN UN
me	𒈨	0.999	6669	6673	CUNEIFORM SIGN ME
du	𒁺	0.999	6302	6311	CUNEIFORM SIGN DU
pár	𒁇	0.999	5831	5834	CUNEIFORM SIGN BAR
ḪI	𒄭	0.999	5821	5828	CUNEIFORM SIGN HI
tu	𒌅	0.999	5689	5697	CUNEIFORM SIGN TU
GAL	𒃲	0.999	5677	5685	CUNEIFORM SIGN GAL
ru	𒊒	0.999	5629	5634	CUNEIFORM SIGN RU
É	𒂍	0.998	5515	5528	CUNEIFORM SIGN E2
az	𒊍	0.999	5420	5427	CUNEIFORM SIGN PIRIG TIMES ZA
